payment_type,card_number,date_time,payment_status
americanexpress,3.74622E+14,11/09/2023,Success
americanexpress,3.37941E+14,08/08/2023,Success
mastercard,5010128495729820,10/20/2023,Success
americanexpress,3.72301E+14,06/12/2023,Success
americanexpress,3.37941E+14,7/28/2023,Success
americanexpress,3.74284E+14,09/11/2023,Success
americanexpress,3.74289E+14,12/27/2023,Success
mastercard,5100172319299348,12/08/2023,Success
mastercard,5048378808755618,10/10/2023,Success
americanexpress,3.74623E+14,11/08/2023,Success
mastercard,5100135387312897,6/20/2023,Success
americanexpress,3.74288E+14,10/17/2023,Success
mastercard,5048375662009892,04/05/2023,Success
americanexpress,3.74289E+14,12/23/2023,Success
mastercard,5100131312450415,1/18/2024,Success
visa,4.01795E+12,05/05/2023,Success
americanexpress,3.37941E+14,12/18/2023,Success
americanexpress,3.74622E+14,4/23/2023,Success
mastercard,5007666020114773,07/11/2023,Success
mastercard,5100174816695457,02/02/2024,Success
americanexpress,3.74622E+14,9/25/2023,Pending
mastercard,5007661554426321,10/09/2023,Failed
americanexpress,3.37941E+14,1/29/2024,Failed
visa,4.04138E+12,02/07/2024,Failed
americanexpress,3.72302E+14,04/10/2023,Failed
americanexpress,3.72302E+14,8/18/2023,Failed
mastercard,5100143529416725,10/25/2023,Failed
visa,4017953294141729,11/27/2023,Failed
americanexpress,3.74288E+14,9/20/2023,Failed
visa,4.01796E+12,12/30/2023,Failed
americanexpress,3.37942E+14,12/07/2023,Failed
americanexpress,3.37942E+14,06/02/2023,Failed
mastercard,5100149492847259,12/03/2023,Failed
mastercard,5108751238525909,10/12/2023,Failed
mastercard,5100176834642064,7/24/2023,Failed
visa,4041597039493687,04/12/2023,Failed
americanexpress,3.74284E+14,9/16/2023,Success
americanexpress,3.37942E+14,6/13/2023,Success
americanexpress,3.74623E+14,03/09/2023,Success
americanexpress,3.74284E+14,4/19/2023,Success
americanexpress,3.74284E+14,5/17/2023,Success
americanexpress,3.74622E+14,05/07/2023,Success
mastercard,5048371457411096,11/22/2023,Pending
americanexpress,3.37941E+14,1/19/2024,Pending
visa,4041596101585594,12/19/2023,Pending
visa,4041594727776515,10/22/2023,Pending
americanexpress,3.37942E+14,04/10/2023,Pending
mastercard,5100131060582344,4/26/2023,Pending
americanexpress,3.74623E+14,5/15/2023,Pending
visa,4041593959519338,9/19/2023,Pending
mastercard,5100174832791884,12/18/2023,Pending
americanexpress,3.74623E+14,11/03/2023,Pending
mastercard,5010125113774980,12/23/2023,Pending
americanexpress,3.37941E+14,5/26/2023,Pending
visa,4.01795E+12,10/08/2023,Pending
mastercard,5108755265477066,1/16/2024,Pending
mastercard,5108755996841754,3/25/2023,Success
americanexpress,3.74623E+14,5/31/2023,Success
mastercard,5100177657848333,6/16/2023,Success
americanexpress,3.74284E+14,7/27/2023,Success
visa,4041372169269749,03/05/2023,Success
mastercard,5100144872131309,11/11/2023,Success
mastercard,5100146561437368,05/02/2023,Success
visa,4041598634444083,08/05/2023,Success
americanexpress,3.74622E+14,01/01/2024,Success
mastercard,5100133444624438,09/07/2023,Success
americanexpress,3.74623E+14,05/03/2023,Success
mastercard,5100178282168071,4/15/2023,Success
americanexpress,3.37942E+14,7/29/2023,Success
mastercard,5100172161762435,6/30/2023,Success
americanexpress,3.37941E+14,5/30/2023,Success
americanexpress,3.74623E+14,2/17/2024,Success
mastercard,5108755272792366,7/28/2023,Success
mastercard,5048376680427876,12/06/2023,Success
americanexpress,3.74623E+14,5/17/2023,Success
americanexpress,3.37942E+14,8/17/2023,Success
visa,4017954653135641,12/19/2023,Success
visa,4.0416E+12,2/29/2024,Success
mastercard,5100170929483625,08/02/2023,Success
visa,4017952676238590,7/28/2023,Success
americanexpress,3.74289E+14,2/21/2024,Success
americanexpress,3.74623E+14,04/09/2023,Success
americanexpress,3.74283E+14,12/02/2023,Success
mastercard,5108757206045952,8/13/2023,Success
visa,4017957246948800,12/01/2023,Success
mastercard,5100147812562285,12/09/2023,Success
mastercard,5048375699350608,06/07/2023,Success
visa,4041595858728498,07/01/2023,Success
visa,4.04137E+12,11/29/2023,Success
mastercard,5108754047647062,10/29/2023,Success
mastercard,5100172520287264,04/07/2023,Success
mastercard,5108757386094697,4/17/2023,Success
mastercard,5002352225793068,4/26/2023,Success
americanexpress,3.74622E+14,01/08/2024,Success
visa,4.04137E+12,9/25/2023,Success
americanexpress,3.37941E+14,8/14/2023,Success
americanexpress,3.74284E+14,6/20/2023,Success
mastercard,5048371227754551,10/16/2023,Success
americanexpress,3.37942E+14,09/07/2023,Failed
americanexpress,3.74623E+14,5/19/2023,Failed
americanexpress,3.72302E+14,08/05/2023,Failed
mastercard,5100171579401693,12/01/2023,Failed
visa,4041593722583553,10/14/2023,Failed
mastercard,5100131724003752,05/05/2023,Failed
mastercard,5100147129785579,9/18/2023,Failed
mastercard,5100144863351668,5/21/2023,Success
mastercard,5100178711322638,11/24/2023,Success
mastercard,5100134482137838,7/13/2023,Success
visa,4.04159E+12,1/21/2024,Success
visa,4.01795E+12,10/19/2023,Success
visa,4017951650948208,11/14/2023,Success
visa,4.04159E+12,04/07/2023,Success
visa,4041374855305126,9/15/2023,Success
americanexpress,3.74623E+14,06/07/2023,Success
americanexpress,3.74623E+14,8/29/2023,Success
mastercard,5100132190156207,7/21/2023,Success
americanexpress,3.37942E+14,11/14/2023,Success
americanexpress,3.37941E+14,03/06/2023,Success
mastercard,5048375211482368,03/09/2023,Success
americanexpress,3.74289E+14,05/12/2023,Success
americanexpress,3.74288E+14,4/20/2023,Success
americanexpress,3.74622E+14,9/30/2023,Pending
mastercard,5108753085357998,5/18/2023,Pending
mastercard,5108753227715178,3/16/2023,Pending
americanexpress,3.74622E+14,11/21/2023,Pending
visa,4.04159E+12,9/29/2023,Pending
mastercard,5100131952530930,02/03/2024,Pending
americanexpress,3.74289E+14,08/10/2023,Pending
mastercard,5010127804663274,01/07/2024,Pending
visa,4.01795E+12,8/21/2023,Pending
americanexpress,3.37941E+14,11/21/2023,Pending
visa,4.04159E+12,6/30/2023,Pending
visa,4041372637855186,04/10/2023,Success
americanexpress,3.37941E+14,8/20/2023,Success
americanexpress,3.74623E+14,12/30/2023,Success
visa,4.04159E+12,02/11/2024,Success
mastercard,5100132028206208,05/06/2023,Success
visa,4.01796E+12,11/17/2023,Success
americanexpress,3.37942E+14,2/16/2024,Success
americanexpress,3.74623E+14,12/04/2023,Success
mastercard,5108756550662545,03/04/2023,Success
mastercard,5010122376261326,11/27/2023,Success
mastercard,5048372587937729,9/26/2023,Success
visa,4.0416E+12,7/22/2023,Success
mastercard,5100170282267599,07/07/2023,Success
mastercard,5108753394539401,11/18/2023,Success
visa,4041592175260024,3/26/2023,Success
mastercard,5010123499347497,8/28/2023,Success
mastercard,5048373219537507,1/20/2024,Success
americanexpress,3.74622E+14,8/27/2023,Success
americanexpress,3.37942E+14,08/07/2023,Success
mastercard,5100176928573928,07/02/2023,Success
visa,4041375824094899,3/21/2023,Success
americanexpress,3.74622E+14,04/02/2023,Success
visa,4.01796E+12,05/10/2023,Success
mastercard,5100177563266901,1/17/2024,Success
mastercard,5002358930046809,04/04/2023,Success
americanexpress,3.74622E+14,02/05/2024,Success
americanexpress,3.74284E+14,04/04/2023,Success
visa,4.04159E+12,01/04/2024,Success
americanexpress,3.74283E+14,1/20/2024,Success
mastercard,5007663744346021,02/03/2024,Success
americanexpress,3.37941E+14,3/23/2023,Success
americanexpress,3.74284E+14,07/11/2023,Success
americanexpress,3.74623E+14,4/30/2023,Success
mastercard,5010129981053584,5/29/2023,Success
mastercard,5108755537393653,11/25/2023,Success
americanexpress,3.74284E+14,10/06/2023,Success
americanexpress,3.37941E+14,11/26/2023,Success
americanexpress,3.74284E+14,8/18/2023,Failed
mastercard,5002356180803069,5/30/2023,Failed
visa,4017953839428599,10/04/2023,Failed
mastercard,5010121552117070,8/16/2023,Failed
americanexpress,3.74289E+14,01/10/2024,Failed
mastercard,5048376551238485,08/06/2023,Failed
visa,4017954260264297,3/23/2023,Failed
americanexpress,3.72302E+14,7/16/2023,Success
americanexpress,3.74289E+14,07/02/2023,Success
visa,4041590230601455,11/29/2023,Success
americanexpress,3.74289E+14,09/08/2023,Success
americanexpress,3.74283E+14,01/04/2024,Success
americanexpress,3.74289E+14,9/23/2023,Success
visa,4.0416E+12,4/21/2023,Success
mastercard,5108757625033936,8/20/2023,Success
americanexpress,3.74284E+14,11/08/2023,Success
americanexpress,3.72301E+14,9/25/2023,Success
mastercard,5108757402087451,03/03/2024,Success
mastercard,5010129036247413,2/27/2024,Success
americanexpress,3.74283E+14,5/21/2023,Success
mastercard,5048371696859618,11/16/2023,Success
mastercard,5007662305103227,12/03/2023,Success
americanexpress,3.37942E+14,12/12/2023,Success
visa,4.04137E+12,10/01/2023,Pending
mastercard,5100143270459122,3/27/2023,Pending
americanexpress,3.37942E+14,3/22/2023,Pending
americanexpress,3.74622E+14,1/31/2024,Pending
visa,4041593664744171,09/08/2023,Pending
mastercard,5100148880763474,2/17/2024,Pending
visa,4041590385333466,8/22/2023,Pending
americanexpress,3.37942E+14,07/12/2023,Pending
mastercard,5007666075327593,1/14/2024,Pending
mastercard,5048375792608233,5/24/2023,Pending
americanexpress,3.37942E+14,01/10/2024,Pending
mastercard,5002357160555950,1/15/2024,Success
americanexpress,3.74289E+14,1/21/2024,Success
visa,4.0416E+12,11/30/2023,Success
americanexpress,3.72301E+14,07/01/2023,Success
americanexpress,3.74623E+14,03/07/2023,Success
americanexpress,3.74622E+14,10/25/2023,Success
americanexpress,3.74622E+14,04/04/2023,Success
mastercard,5002352602905111,1/21/2024,Success
mastercard,5048370146377122,1/16/2024,Success
mastercard,5100178687711566,6/19/2023,Success
mastercard,5048370016995839,9/26/2023,Success
mastercard,5100149266212847,4/27/2023,Success
americanexpress,3.74283E+14,10/23/2023,Success
americanexpress,3.74622E+14,08/06/2023,Success
americanexpress,3.74288E+14,10/26/2023,Success
americanexpress,3.74623E+14,11/27/2023,Success
mastercard,5100179459502977,11/11/2023,Success
visa,4.04159E+12,07/10/2023,Success
visa,4041592871730593,8/30/2023,Success
mastercard,5100135157047368,5/23/2023,Success
mastercard,5048379950148099,3/18/2023,Success
americanexpress,3.37942E+14,7/30/2023,Success
americanexpress,3.37941E+14,02/12/2024,Success
americanexpress,3.37941E+14,05/01/2023,Success
americanexpress,3.74623E+14,7/14/2023,Success
americanexpress,3.74284E+14,5/17/2023,Success
americanexpress,3.74622E+14,07/06/2023,Success
visa,4.0416E+12,4/29/2023,Success
mastercard,5100133317902671,01/11/2024,Success
americanexpress,3.74284E+14,3/23/2023,Success
mastercard,5108759337317987,01/03/2024,Success
americanexpress,3.74622E+14,10/23/2023,Success
americanexpress,3.37942E+14,1/20/2024,Success
mastercard,5100171454799955,7/27/2023,Success
visa,4.0416E+12,9/29/2023,Success
americanexpress,3.37942E+14,11/05/2023,Success
americanexpress,3.74623E+14,02/05/2024,Success
americanexpress,3.74622E+14,06/05/2023,Failed
americanexpress,3.74283E+14,7/21/2023,Failed
visa,4.04159E+12,8/21/2023,Failed
mastercard,5108759813471993,6/17/2023,Failed
americanexpress,3.74288E+14,6/29/2023,Failed
americanexpress,3.74623E+14,05/07/2023,Failed
visa,4041590276768341,8/19/2023,Failed
visa,4017954857865605,6/16/2023,Success
mastercard,5100144898717941,10/24/2023,Success
americanexpress,3.37941E+14,4/22/2023,Success
americanexpress,3.74289E+14,4/28/2023,Success
visa,4.04159E+12,3/18/2023,Success
visa,4041372244180671,3/31/2023,Success
visa,4.01796E+12,01/01/2024,Success
americanexpress,3.74284E+14,2/20/2024,Success
mastercard,5007669210276915,01/06/2024,Success
mastercard,5010124015391258,02/12/2024,Success
mastercard,5010126908677446,3/20/2023,Success
visa,4.04137E+12,4/24/2023,Success
americanexpress,3.74283E+14,1/29/2024,Success
visa,4041591903382050,5/27/2023,Success
mastercard,5100146634385255,12/09/2023,Success
americanexpress,3.74622E+14,01/06/2024,Success
visa,4.01795E+12,4/22/2023,Success
mastercard,5002353056681059,07/11/2023,Success
mastercard,5100173408706581,6/21/2023,Success
americanexpress,3.74283E+14,12/28/2023,Success
americanexpress,3.74284E+14,11/25/2023,Success
visa,4041599953022567,4/15/2023,Success
mastercard,5010129021835644,07/07/2023,Success
visa,4041377270684264,3/16/2023,Success
mastercard,5100144439953682,01/08/2024,Success
americanexpress,3.37941E+14,8/19/2023,Success
americanexpress,3.74622E+14,2/21/2024,Success
americanexpress,3.74283E+14,7/14/2023,Success
mastercard,5010125122850417,1/23/2024,Success
americanexpress,3.74623E+14,09/12/2023,Success
mastercard,5108754709617668,8/26/2023,Success
mastercard,5002359489040573,02/07/2024,Success
americanexpress,3.37942E+14,12/26/2023,Success
visa,4041597117019511,1/25/2024,Success
mastercard,5100135886228057,7/28/2023,Success
visa,4017956316565718,09/05/2023,Success
mastercard,5010129875105326,2/27/2024,Success
americanexpress,3.37942E+14,03/11/2023,Success
americanexpress,3.37942E+14,03/04/2023,Success
mastercard,5002357017425860,11/04/2023,Success
mastercard,5048375977744993,9/29/2023,Success
mastercard,5048379699241627,12/30/2023,Success
americanexpress,3.74622E+14,06/03/2023,Success
mastercard,5048373812197360,01/10/2024,Success
visa,4.04159E+12,11/29/2023,Success
visa,4.0416E+12,07/03/2023,Success
mastercard,5108753135315574,4/20/2023,Success
visa,4.04138E+12,12/02/2023,Success
americanexpress,3.72301E+14,8/18/2023,Success
mastercard,5108754820283705,5/28/2023,Success
americanexpress,3.74289E+14,12/19/2023,Success
americanexpress,3.74289E+14,08/10/2023,Success
mastercard,5100145813571016,4/25/2023,Success
americanexpress,3.74622E+14,07/07/2023,Success
americanexpress,3.37942E+14,5/25/2023,Success
mastercard,5002358912061784,5/23/2023,Success
mastercard,5100147076118907,4/13/2023,Success
americanexpress,3.37941E+14,6/20/2023,Success
mastercard,5048376464617064,7/21/2023,Success
americanexpress,3.72302E+14,3/21/2023,Success
americanexpress,3.37941E+14,6/16/2023,Success
visa,4.04138E+12,12/13/2023,Success
mastercard,5108752028481519,02/02/2024,Success
americanexpress,3.72302E+14,07/12/2023,Success
americanexpress,3.74622E+14,5/17/2023,Success
visa,4041593831110942,12/16/2023,Success
americanexpress,3.37942E+14,02/01/2024,Success
americanexpress,3.74284E+14,04/07/2023,Success
americanexpress,3.74622E+14,5/26/2023,Success
americanexpress,3.37941E+14,1/22/2024,Success
mastercard,5108757549633993,03/05/2023,Success
visa,4.0416E+12,6/15/2023,Success
americanexpress,3.74284E+14,02/02/2024,Success
visa,4.04159E+12,09/01/2023,Success
mastercard,5010121094230829,07/12/2023,Success
visa,4041590150087669,11/21/2023,Success
visa,4041593680130207,5/30/2023,Success
mastercard,5002353741539928,6/13/2023,Success
mastercard,5007669425084963,06/04/2023,Success
visa,4.04159E+12,11/29/2023,Success
mastercard,5010127362909762,03/06/2023,Success
americanexpress,3.37941E+14,7/28/2023,Success
americanexpress,3.74283E+14,04/07/2023,Success
americanexpress,3.72301E+14,05/08/2023,Success
mastercard,5100140039441045,11/19/2023,Success
americanexpress,3.37942E+14,02/04/2024,Success
visa,4.04138E+12,08/12/2023,Success
visa,4041599333835589,6/20/2023,Success
visa,4.01796E+12,10/15/2023,Success
visa,4.01796E+12,8/20/2023,Success
americanexpress,3.74284E+14,7/16/2023,Success
visa,4.01796E+12,11/03/2023,Success
americanexpress,3.37941E+14,12/21/2023,Success
americanexpress,3.37942E+14,11/26/2023,Success
mastercard,5100135093126458,10/08/2023,Success
americanexpress,3.74622E+14,12/18/2023,Success
americanexpress,3.74622E+14,3/30/2023,Success
visa,4.04159E+12,1/16/2024,Success
visa,4.04137E+12,5/20/2023,Success
americanexpress,3.72301E+14,3/15/2023,Success
americanexpress,3.74289E+14,12/25/2023,Success
mastercard,5007666167873611,09/11/2023,Success
americanexpress,3.74289E+14,6/28/2023,Success
americanexpress,3.74288E+14,9/26/2023,Success
mastercard,5100141290828193,5/17/2023,Success
visa,4.04159E+12,10/25/2023,Success
mastercard,5010129922664325,07/10/2023,Success
visa,4041597236590442,2/26/2024,Success
mastercard,5100130629112908,6/13/2023,Success
americanexpress,3.72302E+14,01/02/2024,Success
americanexpress,3.37942E+14,5/17/2023,Success
visa,4041594366360902,5/21/2023,Success
americanexpress,3.74283E+14,10/07/2023,Success
visa,4041592345248982,6/26/2023,Success
visa,4041374436946018,11/08/2023,Success
americanexpress,3.37941E+14,7/18/2023,Success
visa,4.04159E+12,6/26/2023,Success
mastercard,5048374006287215,11/25/2023,Success
americanexpress,3.74623E+14,04/11/2023,Success
visa,4.04138E+12,11/03/2023,Success
mastercard,5100141431778588,11/12/2023,Success
americanexpress,3.37942E+14,2/28/2024,Success
mastercard,5100135577240551,09/02/2023,Success
americanexpress,3.74284E+14,11/16/2023,Success
visa,4.01795E+12,11/10/2023,Success
americanexpress,3.74289E+14,03/12/2023,Success
visa,4041591985981258,06/10/2023,Success
americanexpress,3.74622E+14,10/29/2023,Success
mastercard,5048379153340519,12/19/2023,Success
mastercard,5100148194083346,12/26/2023,Success
americanexpress,3.37942E+14,4/17/2023,Success
americanexpress,3.74623E+14,01/01/2024,Success
visa,4041592080170870,4/23/2023,Success
americanexpress,3.74622E+14,4/30/2023,Success
visa,4.0416E+12,5/17/2023,Success
mastercard,5002350099243921,5/19/2023,Success
visa,4041593078536536,8/24/2023,Success
mastercard,5100143385101619,08/07/2023,Success
americanexpress,3.37942E+14,12/29/2023,Success
americanexpress,3.74289E+14,04/10/2023,Success
americanexpress,3.74623E+14,03/06/2023,Success
